Date,open,high,low,close,volume,sma_20,sma_50,ema_20,rsi,macd,macd_signal
2004-11-03,1161.0,1184.0,1161.0,1175.2,1122267,1127.74,1058.577,1126.945527756277,71.1628888704818,31.320746878787304,29.964198151652468
2004-11-04,1181.75,1187.9,1167.7,1170.4,819476,1132.1799999999998,1062.226,1131.0840489223458,68.9305156859918,30.96909635844918,30.16517779301181
2004-11-05,1173.95,1180.0,1160.0,1165.45,627981,1135.5975,1065.955,1134.3569966440273,66.60991326945829,29.945790721620824,30.121300378733615
2004-11-08,1165.0,1188.9,1156.0,1184.15,1286466,1139.9025000000001,1070.385,1139.0991874398344,70.63227079875018,30.294530855483345,30.155946474083564
2004-11-09,1187.0,1197.9,1177.0,1188.4,917339,1144.29,1074.4180000000001,1143.794502921755,71.47336695028883,30.561554825256053,30.237068144318062
2004-11-10,1191.0,1199.0,1190.1,1194.35,716799,1149.5425,1078.5430000000001,1148.6093121673023,72.65417427822669,30.897125686756,30.36907965280565
2004-11-11,1199.0,1203.4,1191.1,1196.25,654391,1155.1325000000002,1082.71,1153.1465205323211,73.03797200484725,30.95950028551806,30.487163779348133
2004-11-12,1204.0,1208.0,1190.2,1196.75,226676,1159.1599999999999,1086.772,1157.2992328625762,73.14478916051355,30.695440494969716,30.528819122472452
2004-11-16,1198.0,1198.0,1184.0,1190.9,500688,1162.405,1090.633,1160.4993059232834,69.66713073480955,29.672083787332213,30.357472055444408
2004-11-17,1191.5,1209.9,1191.5,1205.4,683492,1165.8125,1094.844,1164.7755625020181,73.08317982972052,29.6888603407524,30.223749712506006
2004-11-18,1209.45,1234.55,1206.5,1231.0,934016,1170.2025,1099.552,1171.0826517875403,77.83027161725497,31.405835015474395,30.460166773099687
2004-11-19,1233.0,1237.0,1211.1,1217.1,851595,1174.395,1104.02,1175.465256379203,70.55436248750013,31.28430993139068,30.624995404757886
2004-11-22,1207.8,1226.0,1195.0,1222.45,592284,1179.24,1108.87,1179.939993866898,71.65279317584893,31.259362245212742,30.75186877284886
2004-11-23,1230.6,1242.0,1224.15,1235.55,539099,1185.15,1113.805,1185.2361849271936,74.19152185744872,31.928598533874265,30.987214725053942
2004-11-24,1239.0,1245.0,1230.15,1233.9,402913,1189.9850000000001,1118.413,1189.8708339817465,73.30106347884403,31.957446355089132,31.18126105106098
2004-11-25,1234.0,1244.0,1208.65,1216.85,788859,1193.8325,1122.437,1192.4402783644373,64.6643347064882,30.25574654145271,30.996158149139326
2004-11-29,1216.0,1247.7,1205.55,1243.9,660186,1197.73,1127.193,1197.341204234491,70.58573675932075,30.735545872177,30.944035693746862
2004-11-30,1248.15,1286.0,1245.0,1274.65,1313518,1203.65,1132.517,1204.7039466883489,75.59288317869047,33.21418585069705,31.398065725136902
2004-12-01,1281.0,1281.0,1257.0,1261.55,1060233,1208.1950000000002,1137.258,1210.1178565275536,70.11685582732339,33.73261676434413,31.86497593297835
2004-12-02,1265.0,1277.0,1239.1,1242.6,1207213,1212.34,1141.652,1213.21139400112,63.00648056479144,32.242696633847345,31.94052007315215
2004-12-03,1249.25,1255.9,1221.55,1236.75,1222152,1215.4175,1145.471,1215.4531660010132,60.95160022991611,30.241275487345774,31.600671155990877
2004-12-06,1240.0,1250.0,1208.5,1214.55,1434234,1217.625,1148.721,1215.367150191393,53.78309076946819,26.55764039550172,30.592065003893048
2004-12-07,1216.0,1232.9,1215.0,1218.25,982903,1220.2649999999999,1152.481,1215.6417073160223,54.738535965623775,23.664107028438593,29.206473408802157
2004-12-08,1218.0,1226.6,1196.05,1200.8,916176,1221.0975,1155.921,1214.228211381163,49.53720193156928,19.735394481270077,27.312257623295743
2004-12-09,1204.95,1217.0,1204.85,1211.45,475153,1222.25,1159.735,1213.9636198210521,52.50354658571175,17.282011209485518,25.3062083405337
2004-12-10,1220.0,1235.5,1214.0,1225.65,777101,1223.815,1163.937,1215.0766084095235,56.20049118113824,16.295662364531836,23.504099145333328
2004-12-13,1226.0,1241.65,1225.25,1236.15,624529,1225.81,1168.04,1217.0835980848071,58.75683566218698,16.174783214046556,22.038235959075976
2004-12-14,1242.0,1244.7,1230.3,1233.15,385438,1227.6299999999999,1172.161,1218.6137316005397,57.72027395876119,15.656433073762855,20.761875382013354
2004-12-15,1244.0,1254.75,1238.0,1245.5,721584,1230.3600000000001,1176.1170000000002,1221.1743285909647,60.787145625632924,16.057082586944716,19.820916822999628
2004-12-16,1248.45,1265.0,1238.0,1262.65,543808,1233.2225,1179.84,1225.1243925346823,64.62462728785087,17.55608625012792,19.367950708425287
2004-12-17,1260.0,1274.8,1252.1,1256.5,688719,1234.4975,1183.356,1228.1125456266175,62.27120009640093,18.03985166999928,19.102330900740085
2004-12-20,1260.0,1268.5,1256.5,1262.55,283553,1236.77,1186.975,1231.3923031859872,63.67272394444224,18.695908888758822,19.021046498343832
2004-12-21,1264.95,1277.0,1263.15,1272.7,432314,1239.2825,1190.487,1235.3263695492265,65.9575032500897,19.80654165116289,19.178145528907642
2004-12-22,1275.1,1275.1,1230.0,1240.15,750214,1239.5125,1193.329,1235.7857629254906,54.187420103394096,17.854398753888063,18.913396173903728
2004-12-23,1247.7,1247.7,1225.0,1227.85,493614,1239.21,1195.873,1235.0299759802058,50.51876527266267,15.140276555124274,18.158772250147837
2004-12-24,1232.95,1272.0,1221.55,1267.95,832732,1241.7649999999999,1199.4460000000001,1238.1652163630433,60.02168053716734,16.040149173698182,17.735047634857906
2004-12-27,1270.0,1285.0,1262.2,1270.55,550063,1243.0975,1203.1680000000001,1241.2494814713248,60.550697161412195,16.769791263194065,17.54199636052514
2004-12-28,1272.0,1314.0,1266.2,1309.35,1201806,1244.8325,1207.031,1247.7352451407226,67.46881204447766,20.245496133731194,18.082696315166352
2004-12-29,1316.95,1336.9,1313.15,1320.25,829153,1247.7675,1210.9160000000002,1254.6414122701774,69.10780347114434,23.607424495163514,19.187641951165787
2004-12-30,1318.0,1328.0,1291.85,1296.65,703349,1250.47,1214.104,1258.642230149208,61.842796022140924,24.089762390927717,20.168066039118173
2004-12-31,1300.0,1338.8,1296.65,1335.45,612414,1255.405,1217.949,1265.9572558492835,67.8304694279743,27.288291940134286,21.592111219321396
2005-01-03,1335.45,1356.7,1335.45,1353.25,591771,1262.34,1222.3490000000002,1274.270850530304,70.14504290302514,30.903227718685002,23.454334519194116
2005-01-04,1350.0,1354.0,1333.15,1341.25,622388,1268.49,1226.663,1280.6498171464655,66.66282541660502,32.42600386747904,25.2486683888511
2005-01-05,1340.2,1340.2,1280.3,1325.0,1200540,1274.7,1230.816,1284.8736440848973,62.16249745686115,31.95323869781646,26.589582450644173
2005-01-06,1320.0,1346.0,1292.5,1320.45,1000861,1280.15,1234.481,1288.2618684577642,60.92233185867916,30.85573620081209,27.442813200677758
2005-01-07,1330.0,1345.0,1312.65,1339.95,952892,1285.865,1238.4820000000002,1293.1845476522628,64.21716808248217,31.199792806283767,28.19420912179896
2005-01-10,1348.65,1359.4,1322.0,1327.45,940196,1290.43,1241.712,1296.447924066333,60.6849594875706,30.116648633291106,28.57869702409739
2005-01-11,1330.0,1335.3,1301.0,1313.75,998297,1294.46,1244.862,1298.0957408219203,56.985367867866984,27.83194423982627,28.429346467243167
2005-01-12,1325.95,1367.95,1286.7,1298.05,2590004,1297.0875,1247.41,1298.091384553166,52.99791746873551,24.47233886899403,27.63794494759334
2005-01-13,1310.0,1338.7,1275.0,1292.9,3469744,1298.6,1250.0739999999998,1297.5969669766741,51.71948328412349,21.1504561554475,26.340447189164173
2005-01-14,1304.7,1317.9,1277.0,1296.4,1969722,1300.5949999999998,1252.498,1297.482970121753,52.55708286970317,18.586012933661095,24.78956033806356
2005-01-17,1309.6,1309.6,1240.2,1263.25,1706398,1300.6299999999999,1254.355,1294.2226872530146,44.65510466067373,13.720582911649672,22.575764852780782
2005-01-18,1274.7,1284.0,1257.5,1263.85,772908,1300.1875,1256.323,1291.330050371775,44.81682463501365,9.80013964184991,20.02063981059461
2005-01-19,1266.0,1273.7,1251.1,1255.4,442311,1300.95,1257.748,1287.9081408125585,42.914937588812435,5.942810702355928,17.20507398894687
2005-01-20,1255.0,1255.0,1230.0,1243.7,567025,1301.7424999999998,1258.854,1283.697841687553,40.36094960472701,1.9196292175406597,14.14798503466563
2005-01-24,1243.7,1247.35,1215.35,1220.65,453524,1299.3775,1259.38,1277.6932853363573,35.83613046545527,-3.0930586035260603,10.699776307027292
2005-01-25,1214.8,1239.9,1207.1,1235.45,558241,1297.6225,1260.164,1273.6701153043232,40.45228578964975,-5.804502809734686,7.398920483674898
2005-01-27,1243.25,1253.8,1235.3,1240.55,681918,1294.1825000000001,1261.04,1270.5158186086733,42.00076464185308,-7.455867896539303,4.427962807632058
2005-01-28,1242.85,1294.8,1242.5,1289.2,1049227,1292.63,1263.006,1272.2952644554664,54.228203357018856,-4.783793615300283,2.58561152304559
2005-01-31,1298.0,1311.8,1290.25,1300.4,731673,1292.8174999999999,1264.906,1274.9719059358981,56.50175499881719,-1.742324664297712,1.7200242855769297
2005-02-01,1307.0,1320.0,1287.0,1315.25,1002480,1291.8075000000001,1266.5910000000001,1278.807914894384,59.382551719631664,1.845063541351692,1.7450321367318824
2005-02-02,1319.0,1323.45,1303.0,1308.95,608807,1289.5925000000002,1268.428,1281.6785896663475,57.638527407911845,4.132104858696948,2.2224466811248957
2005-02-03,1312.0,1314.75,1302.0,1311.1,415952,1288.085,1270.201,1284.480628745743,58.0908879668435,6.048366804095849,2.9876307057190865
2005-02-04,1310.0,1322.0,1300.55,1306.45,335505,1287.1575,1271.6190000000001,1286.572949817577,56.681108456690914,7.109844205145464,3.8120734056043624
2005-02-07,1312.6,1330.7,1301.0,1313.75,743027,1286.8225,1273.2160000000001,1289.1612403111412,58.38841697686185,8.442798360325014,4.738218396548493
2005-02-08,1313.75,1323.0,1308.0,1316.0,410554,1285.625,1275.199,1291.7173126624612,58.92575625769099,9.570408614550615,5.704656440148918
2005-02-09,1321.0,1343.6,1320.75,1332.8,692242,1285.8925,1276.9769999999999,1295.6299495517505,62.789524097192235,11.684970396470362,6.900719231413207
2005-02-10,1330.0,1343.5,1323.0,1332.65,547081,1286.8375,1278.137,1299.1556686420602,62.73278235606837,13.196550477501887,8.159885480630944
2005-02-11,1338.0,1387.0,1338.0,1381.75,1295887,1291.0225,1280.5410000000002,1307.0217954380544,71.73641285526092,18.147257942953956,10.157359973095547
2005-02-14,1391.05,1418.0,1391.05,1409.65,1109408,1296.8600000000001,1283.882,1316.7959101582396,75.37676355268209,24.044852020525013,12.934858382581442
2005-02-15,1410.0,1415.0,1374.0,1381.35,497090,1301.1075,1286.7740000000001,1322.9439187145979,66.07960387791522,26.133908895880722,15.574668485241299
2005-02-16,1399.0,1399.0,1361.0,1368.15,390854,1306.3525000000002,1289.846,1327.2492597893981,62.224413791376506,26.419820591434473,17.743698906479935
2005-02-17,1368.15,1386.0,1350.6,1381.85,515622,1312.2525,1293.118,1332.449330285646,64.53693614267152,27.43562239745006,19.682083604673963
2005-02-18,1380.0,1392.0,1355.0,1375.0,318143,1318.2325,1296.6019999999999,1336.5017750203465,62.477478298967284,27.37238310133762,21.220143504006693
2005-02-21,1371.0,1375.8,1345.1,1365.55,222144,1324.325,1299.6840000000002,1339.2682726374562,59.649492425179155,26.25705450066448,22.22752570333825
2005-02-22,1364.7,1369.95,1351.0,1363.45,267380,1331.465,1302.44,1341.5712942910318,59.010267797953794,24.91647449158245,22.765315460987093
2005-02-23,1363.45,1382.1,1355.15,1374.95,645852,1338.44,1305.216,1344.7502186442669,61.446790769838515,24.499593008779584,23.11217097054559
2005-02-24,1374.95,1395.9,1361.2,1367.95,1350805,1344.81,1307.912,1346.9597216305272,59.1422818725271,23.335374262893765,23.156811629015227
2005-02-25,1376.8,1379.0,1353.15,1364.05,633862,1348.5525,1310.2830000000001,1348.5873671895245,57.84072203304242,21.846195766682513,22.894688456548685
2005-02-28,1379.0,1385.0,1340.0,1380.9,800301,1352.5774999999999,1312.6480000000001,1351.6647607905222,61.756709530311944,21.774660525871013,22.670682870413152
2005-03-01,1381.0,1440.0,1351.0,1357.45,619769,1354.6875,1314.6670000000001,1352.2157359533296,54.210037673927886,19.599814846877962,22.056509265706115
2005-03-02,1375.0,1375.0,1361.6,1368.0,332264,1357.6399999999999,1316.776,1353.7189991958696,56.769539679179516,18.51411165283048,21.34802974313099
2005-03-03,1370.0,1395.0,1364.0,1389.55,361395,1361.5625,1319.1130000000003,1357.1314754629298,61.503124549344705,19.171590783957527,20.912741951296297
